iter	Passed	Remaining
0	1	148
1	2	130
2	3	120
3	4	109
4	5	107
5	6	104
6	7	103
7	8	102
8	9	100
9	10	98
10	12	97
11	13	96
12	14	95
13	15	94
14	16	92
15	17	91
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	25	82
24	27	81
25	28	80
26	29	79
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	63
41	44	61
42	45	59
43	46	58
44	47	57
45	47	56
46	48	55
47	49	53
48	50	52
49	51	51
50	52	50
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	56	41
58	57	39
59	58	38
60	58	37
61	59	36
62	59	35
63	60	33
64	60	32
65	61	31
66	61	30
67	62	29
68	62	28
69	63	27
70	63	26
71	64	24
72	64	23
73	65	22
74	65	21
75	65	20
76	66	19
77	66	18
78	67	17
79	67	16
80	67	15
81	68	14
82	68	14
83	68	13
84	69	12
85	69	11
86	69	10
87	70	9
88	70	8
89	70	7
90	70	7
91	71	6
92	71	5
93	71	4
94	72	3
95	72	3
96	72	2
97	72	1
98	73	0
99	73	0
