iter	Passed	Remaining
0	1	1291
1	2	1151
2	3	1112
3	4	1135
4	5	1108
5	6	1099
6	7	1098
7	8	1084
8	9	1077
9	10	1068
10	11	1074
11	12	1065
12	13	1059
13	14	1053
14	15	1049
15	17	1047
16	18	1059
17	19	1067
18	20	1061
19	21	1056
20	22	1055
21	23	1056
22	24	1054
23	25	1051
24	27	1062
25	28	1068
26	29	1077
27	31	1077
28	32	1073
29	33	1069
30	34	1073
31	35	1077
32	36	1079
33	37	1075
34	38	1068
35	39	1062
36	40	1055
37	41	1050
38	42	1047
39	43	1043
40	44	1037
41	45	1033
42	46	1026
43	47	1021
44	47	1015
45	48	1010
46	49	1003
47	50	992
48	50	985
49	51	979
50	52	973
51	53	968
52	53	963
53	54	959
54	55	954
55	56	948
56	56	942
57	57	936
58	58	930
59	58	923
60	59	918
61	60	912
62	60	906
63	61	902
64	62	897
65	62	890
66	63	884
67	64	877
68	64	871
69	65	865
70	65	859
71	66	855
72	66	849
73	67	843
74	67	836
75	68	830
76	68	824
77	69	818
78	69	812
79	70	806
80	70	800
81	71	795
82	71	788
83	71	784
84	72	779
85	72	774
86	73	768
87	73	763
88	74	757
89	74	752
90	74	747
91	75	742
92	75	737
93	75	731
94	76	726
95	76	721
96	76	716
97	77	711
98	77	706
99	77	701
100	78	697
101	78	693
102	79	688
103	79	683
104	79	679
105	79	674
106	80	670
107	80	665
108	80	661
109	81	657
110	81	653
111	81	649
112	82	645
113	82	641
114	82	637
115	83	633
116	83	629
117	83	625
118	84	621
119	84	618
120	84	614
121	84	610
122	85	606
123	85	604
124	85	600
125	86	597
126	86	593
127	86	589
128	87	588
129	87	585
130	87	582
131	88	579
132	88	575
133	88	572
134	88	569
135	89	566
136	89	562
137	89	559
138	89	556
139	90	553
140	90	550
141	90	547
142	90	544
143	91	541
144	91	538
145	91	535
146	91	532
147	91	529
148	92	526
149	92	523
150	92	520
151	92	517
152	93	515
153	93	512
154	93	509
155	93	507
156	93	504
157	94	501
158	94	498
159	94	496
160	94	493
161	94	490
162	95	488
163	95	485
164	95	483
165	95	480
166	95	478
167	96	475
168	96	473
169	96	470
170	96	468
171	96	466
172	97	464
173	97	461
174	97	459
175	97	457
176	97	455
177	98	453
178	98	450
179	98	448
180	98	446
181	98	444
182	99	442
183	99	440
184	99	438
185	99	436
186	99	434
187	100	432
188	100	430
189	100	428
190	100	426
191	100	424
192	101	422
193	101	420
194	101	418
195	101	417
196	101	415
197	102	413
198	102	411
199	102	409
200	102	408
201	102	406
202	103	404
203	103	402
204	103	401
205	103	399
206	103	398
207	104	396
208	104	394
209	104	393
210	104	391
211	104	390
212	105	388
213	105	387
214	105	385
215	105	383
216	105	382
217	106	380
218	106	379
219	106	377
220	106	376
221	106	374
222	107	373
223	107	371
224	107	370
225	107	369
226	107	367
227	108	366
228	108	364
229	108	363
230	108	361
231	108	360
232	109	359
233	109	357
234	109	356
235	109	354
236	109	353
237	110	352
238	110	350
239	110	349
240	110	348
241	110	347
242	110	345
243	111	344
244	111	343
245	111	342
246	111	341
247	112	340
248	112	338
249	112	337
250	112	336
251	112	335
252	113	334
253	113	332
254	113	331
255	113	330
256	113	329
257	114	328
258	114	327
259	114	325
260	114	324
261	114	323
262	115	322
263	115	321
264	115	320
265	115	319
266	115	318
267	116	317
268	116	316
269	116	315
270	116	314
271	116	313
272	117	312
273	117	310
274	117	309
275	117	308
276	118	308
277	118	306
278	118	305
279	118	304
280	118	303
281	118	302
282	119	301
283	119	300
284	119	299
285	119	298
286	119	297
287	120	296
288	120	296
289	120	295
290	120	294
291	120	293
292	121	292
293	121	291
294	121	290
295	121	289
296	121	288
297	122	287
298	122	286
299	122	285
300	122	284
301	122	284
302	123	283
303	123	282
304	123	281
305	123	280
306	123	279
307	124	278
308	124	278
309	124	277
310	124	276
311	125	275
312	125	274
313	125	273
314	125	273
315	125	272
316	125	271
317	126	270
318	126	269
319	126	268
320	126	268
321	126	267
322	127	266
323	127	265
324	127	264
325	127	264
326	127	263
327	128	262
328	128	261
329	128	261
330	128	260
331	129	259
332	129	258
333	129	258
334	129	257
335	129	256
336	130	256
337	130	255
338	130	254
339	130	253
340	130	252
341	131	252
342	131	251
343	131	250
344	131	249
345	131	249
346	132	248
347	132	247
348	132	247
349	132	246
350	132	245
351	133	244
352	133	244
353	133	243
354	133	242
355	133	242
356	133	241
357	134	240
358	134	239
359	134	239
360	134	238
361	135	237
362	135	237
363	135	236
364	135	235
365	135	235
366	136	234
367	136	233
368	136	233
369	136	232
370	136	231
371	137	231
372	137	230
373	137	230
374	137	229
375	137	228
376	138	228
377	138	227
378	138	226
379	138	226
380	138	225
381	139	225
382	139	224
383	139	223
384	139	223
385	139	222
386	140	221
387	140	221
388	140	220
389	140	220
390	140	219
391	141	218
392	141	218
393	141	217
394	141	217
395	142	216
396	142	216
397	142	215
398	142	214
399	142	214
400	143	213
401	143	213
402	143	212
403	143	211
404	143	211
405	144	210
406	144	210
407	144	209
408	144	208
409	144	208
410	144	207
411	145	207
412	145	206
413	145	205
414	145	205
415	145	204
416	146	204
417	146	203
418	146	203
419	146	202
420	146	201
421	147	201
422	147	200
423	147	200
424	147	199
425	147	199
426	148	198
427	148	198
428	148	197
429	148	196
430	148	196
431	148	195
432	149	195
433	149	194
434	149	194
435	149	193
436	149	193
437	150	192
438	150	192
439	150	191
440	150	191
441	150	190
442	151	189
443	151	189
444	151	188
445	151	188
446	151	187
447	152	187
448	152	186
449	152	186
450	152	185
451	152	185
452	153	184
453	153	184
454	153	183
455	153	183
456	153	182
457	154	182
458	154	181
459	154	181
460	154	180
461	154	180
462	155	179
463	155	179
464	155	178
465	155	178
466	155	177
467	156	177
468	156	176
469	156	176
470	156	175
471	156	175
472	157	175
473	157	174
474	157	174
475	157	173
476	157	173
477	158	172
478	158	172
479	158	171
480	158	171
481	158	170
482	159	170
483	159	169
484	159	169
485	159	168
486	159	168
487	160	168
488	160	167
489	160	167
490	160	166
491	160	166
